journal_name,short_name,dict,if2023,if5year,jcr,rank,cas
Humanitas-Portugal,HUMANITAS-PORT,CLASSICS,<0.1,<0.1,N/A,N/A,4
Humanities & Social Sciences Communications,HUM SOC SCI COMMUN,"SOCIAL SCIENCES, INTERDISCIPLINARY",3.7,3.7,Q1,13/263,2
Humanities-Basel,HUMANITIES-BASEL,"HUMANITIES, MULTIDISCIPLINARY",0.3,N/A,N/A,N/A,3
Humanity-An International Journal of Human Rights Humanitarianism and Development,HUMANITY,SOCIAL ISSUES,0.8,1.1,Q3,42/67,3
Human-Wildlife Interactions,HUM-WILDL INTERACT,ECOLOGY,0.9,1.4,Q4,160/195,4
Hume Studies,HUME STUD,PHILOSOPHY,0.3,0.2,N/A,N/A,2
HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,HUMOR,"PSYCHOLOGY, MULTIDISCIPLINARY",1.2,1.2,Q3,126/218,3
Hungarian Cultural Studies,HUNG CULT STUD,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.2,0.2,Q4,218/263,4
Hungarian Geographical Bulletin,HUNG GEOGR BULL,"GEOGRAPHY, PHYSICAL",1.4,N/A,Q3,44/65,4
Hungarian Journal of Industry and Chemistry,HUNG J IND CHEM,"ENGINEERING, CHEMICAL",0.5,0.5,Q4,155/170,4
HUNTINGTON LIBRARY QUARTERLY,HUNTINGTON LIBR Q,"HUMANITIES, MULTIDISCIPLINARY",0.2,0.3,N/A,N/A,3
HUSSERL STUDIES,HUSSERL STUD,PHILOSOPHY,0.8,0.9,N/A,N/A,1
Hybris-Revista de Filosofia,HYBRIS,PHILOSOPHY,0.2,0.1,N/A,N/A,4
HYDROBIOLOGIA,HYDROBIOLOGIA,MARINE & FRESHWATER BIOLOGY,2.2,2.5,Q1,29/119,3
HYDROGEOLOGY JOURNAL,HYDROGEOL J,WATER RESOURCES,2.4,2.9,Q2,59/127,3
HYDROLOGICAL PROCESSES,HYDROL PROCESS,WATER RESOURCES,2.8,3.3,Q2,45/127,3
Hydrological Research Letters,HYDROL RES LETT,WATER RESOURCES,0.6,1,Q4,121/127,4
Hydrological Sciences Journal,HYDROLOG SCI J,WATER RESOURCES,2.8,3.9,Q2,45/127,4
Hydrologie und Wasserbewirtschaftung,HYDROL WASSERBEWIRTS,WATER RESOURCES,1.2,0.5,Q4,103/127,4
Hydrology,HYDROLOGY-BASEL,WATER RESOURCES,3.1,3,Q2,37/127,3
HYDROLOGY AND EARTH SYSTEM SCIENCES,HYDROL EARTH SYST SC,WATER RESOURCES,5.7,6.1,Q1,10/127,1
Hydrology Research,HYDROL RES,WATER RESOURCES,2.6,2.6,Q2,51/127,4
HYDROMETALLURGY,HYDROMETALLURGY,METALLURGY & METALLURGICAL ENGINEERING,4.8,4.8,Q1,11/90,2
Hypatia-A Journal of Feminist Philosophy,HYPATIA,WOMENS STUDIES,1,1.7,Q3,38/66,2
HYPERTENSION,HYPERTENSION,PERIPHERAL VASCULAR DISEASE,6.9,8.4,Q1,6/96,1
HYPERTENSION IN PREGNANCY,HYPERTENS PREGNANCY,PHYSIOLOGY,1.5,2.1,Q4,70/85,4
HYPERTENSION RESEARCH,HYPERTENS RES,PERIPHERAL VASCULAR DISEASE,4.3,4,Q1,15/96,3
Hypertension Research in Pregnancy,HYPERTENS RES PREGNA,OBSTETRICS & GYNECOLOGY,0.4,0.7,Q4,121/136,4
Hypnos,HYPNOS,CLASSICS,0.1,0.1,N/A,N/A,4
HYSTRIX-Italian Journal of Mammalogy,HYSTRIX,ZOOLOGY,1.8,1.7,Q1,43/180,4
I Tatti Studies,TATTI STUD,MEDIEVAL & RENAISSANCE STUDIES,0.1,0.1,N/A,N/A,4
i2 Investigacion e Innovacion en Arquitectura y Territorio,I2 INVEST INNOV ARQ,ARCHITECTURE,1.1,N/A,N/A,N/A,4
IACR Transactions on Symmetric Cryptology,IACR T SYMMETRIC CRY,"COMPUTER SCIENCE, THEORY & METHODS",1.7,2.2,Q2,64/143,2
IADIS-International Journal on Computer Science and Information Systems,IADIS-INT J COMPUT S,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",0.2,0.3,Q4,166/169,4
IARTEM e-Journal,IARTEM E-J,EDUCATION & EDUCATIONAL RESEARCH,0.5,0.2,Q4,579/756,4
Iatreia,IATREIA,"MEDICINE, GENERAL & INTERNAL",0.3,0.2,Q3,243/325,4
IATSS Research,IATSS RES,TRANSPORTATION,3.2,3.9,Q3,29/57,2
IAWA JOURNAL,IAWA J,FORESTRY,1.4,1.9,Q2,44/89,3
Iberian Journal of the History of Economic Thought,IBER J HIST ECON TH,HISTORY OF SOCIAL SCIENCES,0.2,N/A,Q4,39/42,4
Iberica,IBERICA,LINGUISTICS,0.9,1.4,Q2,141/297,3
Iberoamerican Journal of Development Studies,IBEROAM J DEV STUD,DEVELOPMENT STUDIES,0.2,0.3,Q4,62/63,4
Iberoamericana,IBEROAMERICANA-GER,"HUMANITIES, MULTIDISCIPLINARY",0.3,0.3,N/A,N/A,4
IBEROROMANIA,IBEROROMANIA,"LITERATURE, ROMANCE",0.1,0.1,N/A,N/A,3
Ibersid-Revista de Sistemas de Informacion y Documentacion,IBERSID,INFORMATION SCIENCE & LIBRARY SCIENCE,0.3,0.3,Q4,131/160,4
IBIS,IBIS,ORNITHOLOGY,1.8,2,Q1,N/A,3
Ibnosina Journal of Medicine and Biomedical Sciences,IBNOSINA J MED BIOME,"MEDICINE, GENERAL & INTERNAL",0.3,N/A,Q3,243/325,4
IBRO Neuroscience Reports,IBRO NEUROSCI REP,NEUROSCIENCES,2,2,Q3,228/310,4
Ibsen Studies,IBSEN STUD,THEATER,0.6,N/A,N/A,N/A,1
ICARUS,ICARUS,ASTRONOMY & ASTROPHYSICS,2.5,2.8,Q2,37/84,3
Icelandic Agricultural Sciences,ICELAND AGR SCI,"AGRICULTURE, MULTIDISCIPLINARY",0.2,0.3,Q4,82/89,4
Icelandic Review of Politics & Administration,ICEL REV POLIT ADM,POLITICAL SCIENCE,0.1,0.3,Q4,289/317,4
ICES JOURNAL OF MARINE SCIENCE,ICES J MAR SCI,OCEANOGRAPHY,3.1,3.3,Q1,13/65,2
ICGA JOURNAL,ICGA J,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",0.2,0.3,Q4,131/131,4
ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,ICHNOS,PALEONTOLOGY,0.8,1,Q4,49/56,4
ICHTHYOLOGICAL RESEARCH,ICHTHYOL RES,ZOOLOGY,0.6,0.8,Q4,150/180,4
Ichthyology and Herpetology,ICHTHYOL HERPETOL,ZOOLOGY,1.5,1.5,Q2,58/180,3
ICL Journal-Vienna Journal on International Constitutional Law,ICL J-VIENNA J,LAW,0.4,0.4,Q3,233/421,4
ICONARP International Journal of Architecture and Planning,ICONARP INT J ARCHIT,ARCHITECTURE,0.3,0.4,N/A,N/A,4
ICON-INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,ICON-INT J CONST LAW,LAW,1.1,1.4,Q2,113/421,3
Iconographica,ICONOGRAPHICA,ART,<0.1,<0.1,N/A,N/A,4
Iconos,ICONOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.3,0.5,Q3,197/263,4
IC-Revista Cientifica de Informacion y Comunicacion,IC-REV CIENT INF COM,COMMUNICATION,0.3,0.4,Q4,202/227,4
ICSID Review-Foreign Investment Law Journal,ICSID REV,LAW,1.1,1.3,Q2,113/421,4
ICT Express,ICT EXPRESS,TELECOMMUNICATIONS,4.1,4.3,Q2,33/119,3
IDCases,IDCASES,INFECTIOUS DISEASES,1.1,1.1,Q4,114/132,4
IDEALISTIC STUDIES,IDEALISTIC STUD,PHILOSOPHY,0.3,0.2,N/A,N/A,3
Ideas in Ecology and Evolution,IDEAS ECOL EVOL,EVOLUTIONARY BIOLOGY,0.2,0.3,Q4,54/54,N/A
Ideas y Valores,IDEAS VALORES,PHILOSOPHY,0.1,0.1,N/A,N/A,4
Ideggyogyaszati Szemle-Clinical Neuroscience,IDEGGYOGY SZEMLE,NEUROSCIENCES,0.9,0.6,Q4,292/310,4
Identidade,IDENTIDADE,ETHNIC STUDIES,0.1,<0.1,Q4,38/39,4
IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,IDENTITIES-GLOB STUD,ETHNIC STUDIES,1.9,2,Q2,11/39,2
Identity-An International Journal of Theory and Research,IDENTITY,"PSYCHOLOGY, SOCIAL",2.2,2.4,Q3,40/76,2
Ido Movement for Culture-Journal of Martial Arts Anthropology,IDO MOV CULT,"HOSPITALITY, LEISURE, SPORT & TOURISM",0.8,0.9,Q4,108/139,4
Idojaras,IDOJARAS,METEOROLOGY & ATMOSPHERIC SCIENCES,0.8,0.8,Q4,105/110,4
IDP-Internet Law and Politics,IDP-INTERNET LAW POL,POLITICAL SCIENCE,0.3,0.4,Q4,264/317,4
IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,IDS BULL-I DEV STUD,DEVELOPMENT STUDIES,1,1.2,Q4,51/63,4
IEEE Access,IEEE ACCESS,TELECOMMUNICATIONS,3.4,3.7,Q2,47/119,4
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,IEEE AERO EL SYS MAG,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.4,3.2,Q2,122/352,3
IEEE ANNALS OF THE HISTORY OF COMPUTING,IEEE ANN HIST COMPUT,HISTORY & PHILOSOPHY OF SCIENCE,0.5,0.6,Q3,55/104,3
IEEE ANTENNAS AND PROPAGATION MAGAZINE,IEEE ANTENN PROPAG M,TELECOMMUNICATIONS,4.2,3.3,Q2,32/119,3
IEEE Antennas and Wireless Propagation Letters,IEEE ANTENN WIREL PR,TELECOMMUNICATIONS,3.7,4.1,Q2,40/119,2
IEEE Canadian Journal of Electrical and Computer Engineering,IEEE CAN J ELECT COM,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.1,2.1,Q3,192/352,4
IEEE Circuits and Systems Magazine,IEEE CIRC SYST MAG,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6,5.2,Q1,53/352,2
IEEE COMMUNICATIONS LETTERS,IEEE COMMUN LETT,TELECOMMUNICATIONS,3.7,3.5,Q2,40/119,3
IEEE COMMUNICATIONS MAGAZINE,IEEE COMMUN MAG,TELECOMMUNICATIONS,8.3,9.4,Q1,7/119,2
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,TELECOMMUNICATIONS,34.4,34,Q1,1/119,1
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10.3,11.2,Q1,12/197,2
IEEE Computer Architecture Letters,IEEE COMPUT ARCHIT L,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1.4,1.7,Q4,48/59,4
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1.7,2,Q3,73/131,4
IEEE Consumer Electronics Magazine,IEEE CONSUM ELECTR M,TELECOMMUNICATIONS,3.7,3.4,Q2,40/119,4
IEEE Control Systems Letters,IEEE CONTR SYST LETT,AUTOMATION & CONTROL SYSTEMS,2.4,2.4,Q2,40/84,3
IEEE CONTROL SYSTEMS MAGAZINE,IEEE CONTR SYST MAG,AUTOMATION & CONTROL SYSTEMS,3.9,6.4,Q2,24/84,3
IEEE Design & Test,IEEE DES TEST,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.9,1.9,Q3,211/352,4
IEEE ELECTRICAL INSULATION MAGAZINE,IEEE ELECTR INSUL M,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,3.1,Q2,157/352,4
IEEE Electrification Magazine,IEEE ELECTRIF MAG,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,2.9,Q2,165/352,4
IEEE ELECTRON DEVICE LETTERS,IEEE ELECTR DEVICE L,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.1,4.2,Q2,94/352,2
IEEE Embedded Systems Letters,IEEE EMBED SYST LETT,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1.7,1.6,Q3,73/131,4
IEEE Geoscience and Remote Sensing Letters,IEEE GEOSCI REMOTE S,REMOTE SENSING,4,4.4,Q2,18/62,3
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,REMOTE SENSING,16.2,15.6,Q1,1/62,1
IEEE Industrial Electronics Magazine,IEEE IND ELECTRON M,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6,7.5,Q1,53/352,2
IEEE INDUSTRY APPLICATIONS MAGAZINE,IEEE IND APPL MAG,"ENGINEERING, INDUSTRIAL",0.7,0.9,Q4,63/69,4
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,IEEE INSTRU MEAS MAG,INSTRUMENTS & INSTRUMENTATION,1.6,1.6,Q3,48/76,4
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6,5.6,Q1,53/352,4
IEEE Intelligent Transportation Systems Magazine,IEEE INTEL TRANSP SY,TRANSPORTATION SCIENCE & TECHNOLOGY,4.3,4.4,Q2,22/72,3
IEEE INTERNET COMPUTING,IEEE INTERNET COMPUT,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3.7,3.1,Q1,28/131,3
IEEE Internet of Things Journal,IEEE INTERNET THINGS,TELECOMMUNICATIONS,8.2,9,Q1,8/119,2
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,MEDICAL INFORMATICS,6.7,7.1,Q1,3/44,2
IEEE Journal of Electromagnetics RF and Microwaves in Medicine and Biology,IEEE J ELECTROMAG RF,"ENGINEERING, ELECTRICAL & ELECTRONIC",3,2.8,Q2,136/352,3
IEEE Journal of Emerging and Selected Topics in Power Electronics,IEEE J EM SEL TOP P,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.6,5.3,Q1,74/352,2
IEEE Journal of Microwaves,IEEE J MICROW,"ENGINEERING, ELECTRICAL & ELECTRONIC",6.9,6.9,Q1,35/352,2
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,OCEANOGRAPHY,3.8,4.2,Q1,7/65,3
IEEE Journal of Photovoltaics,IEEE J PHOTOVOLT,"PHYSICS, APPLIED",2.5,3.1,Q2,87/179,4
IEEE JOURNAL OF QUANTUM ELECTRONICS,IEEE J QUANTUM ELECT,QUANTUM SCIENCE & TECHNOLOGY,2.2,2.1,Q3,18/26,3
IEEE Journal of Radio Frequency Identification,IEEE J RADIO FREQ ID,TELECOMMUNICATIONS,2.3,2.6,Q3,66/119,4
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,IEEE J-STARS,REMOTE SENSING,4.7,5,Q1,12/62,2
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,IEEE J SEL TOP QUANT,QUANTUM SCIENCE & TECHNOLOGY,4.3,4.4,Q2,N/A,2
IEEE Journal of Selected Topics in Signal Processing,IEEE J-STSP,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.7,8.4,Q1,16/352,2
IEEE JOURNAL OF SOLID-STATE CIRCUITS,IEEE J SOLID-ST CIRC,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.6,5.6,Q1,74/352,1
IEEE Journal of the Electron Devices Society,IEEE J ELECTRON DEVI,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,2.3,Q3,202/352,3
IEEE Journal of Translational Engineering in Health and Medicine,IEEE J TRANSL ENG HE,"ENGINEERING, BIOMEDICAL",3.7,3.7,Q2,46/122,3
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,IEEE J EM SEL TOP C,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.7,4.6,Q2,112/352,2
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,IEEE J EXPLOR SOLID-,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2,2.3,Q3,39/59,4
IEEE Journal on Multiscale and Multiphysics Computational Techniques,IEEE J MULTISCALE MU,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.8,1.8,Q3,222/352,3
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,TELECOMMUNICATIONS,13.8,13.1,Q1,2/119,1
IEEE Latin America Transactions,IEEE LAT AM T,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.3,0.9,Q3,264/352,4
IEEE Letters on Electromagnetic Compatibility Practice and Applications,IEEE LETT ELECTROMAG,"ENGINEERING, ELECTRICAL & ELECTRONIC",0.9,0.9,Q4,294/352,4
IEEE Magnetics Letters,IEEE MAGN LETT,"PHYSICS, APPLIED",1.1,1.3,Q4,152/179,4
IEEE MICRO,IEEE MICRO,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2.8,4.7,Q2,41/131,3
IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,IEEE MICROW WIREL CO,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.9,3,Q2,143/352,N/A
IEEE Microwave and Wireless Technology Letters,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IEEE MICROWAVE MAGAZINE,IEEE MICROW MAG,TELECOMMUNICATIONS,3.7,3.5,Q2,40/119,3
IEEE MULTIMEDIA,IEEE MULTIMEDIA,"COMPUTER SCIENCE, THEORY & METHODS",2.3,3,Q2,52/143,4
IEEE Nanotechnology Magazine,IEEE NANOTECHNOL MAG,NANOSCIENCE & NANOTECHNOLOGY,2.3,2.3,Q3,103/140,4
IEEE NETWORK,IEEE NETWORK,TELECOMMUNICATIONS,6.8,8.5,Q1,13/119,3
IEEE Open Access Journal of Power and Energy,IEEE OP AC J POW ENE,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.3,4,Q2,127/352,3
IEEE Open Journal of Antennas and Propagation,IEEE OPEN J ANTENN P,TELECOMMUNICATIONS,3.5,3.6,Q2,45/119,3
IEEE Open Journal of Circuits and Systems,IEEE OPEN J CIRCUITS,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.4,2.5,Q2,170/352,4
IEEE Open Journal of Engineering in Medicine and Biology,IEEE OPEN J ENG MED,"ENGINEERING, BIOMEDICAL",2.7,3.6,Q3,68/122,4
IEEE Open Journal of Industry Applications,IEEE OPEN J IND APPL,"ENGINEERING, ELECTRICAL & ELECTRONIC",7.9,8.7,Q1,23/352,3
IEEE Open Journal of Intelligent Transportation Systems,IEEE OPEN J INTEL TR,TRANSPORTATION SCIENCE & TECHNOLOGY,4.6,4.3,Q2,19/72,2
IEEE Open Journal of Nanotechnology,IEEE OPEN J NANOTECH,NANOSCIENCE & NANOTECHNOLOGY,1.8,2,Q4,111/140,4
IEEE Open Journal of Power Electronics,IEEE OPEN J POWER EL,"ENGINEERING, ELECTRICAL & ELECTRONIC",5,4.8,Q1,65/352,3
IEEE Open Journal of Signal Processing,IEEE OPEN J SIGNAL P,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.9,3.3,Q2,143/352,3
IEEE Open Journal of the Communications Society,IEEE OPEN J COMM SOC,TELECOMMUNICATIONS,6.3,6.9,Q1,14/119,3
IEEE Open Journal of the Computer Society,IEEE OPEN J COMP SOC,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.7,6.3,Q1,51/352,3
IEEE Open Journal of the Industrial Electronics Society,IEEE OPEN J IND ELEC,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.2,5.3,Q1,61/352,2
IEEE Open Journal of Vehicular Technology,IEEE OPEN J VEH TECH,TRANSPORTATION SCIENCE & TECHNOLOGY,5.3,6.1,Q1,16/72,2
IEEE PERVASIVE COMPUTING,IEEE PERVAS COMPUT,TELECOMMUNICATIONS,1.6,2.8,Q3,86/119,4
IEEE Photonics Journal,IEEE PHOTONICS J,"PHYSICS, APPLIED",2.1,2.1,Q3,109/179,3
IEEE PHOTONICS TECHNOLOGY LETTERS,IEEE PHOTONIC TECH L,"PHYSICS, APPLIED",2.3,2.2,Q3,100/179,3
IEEE Power & Energy Magazine,IEEE POWER ENERGY M,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.1,3.2,Q2,134/352,3
IEEE Power Electronics Magazine,IEEE POWER ELECTRON,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,2.9,Q2,157/352,3
IEEE Pulse,IEEE PULSE,"ENGINEERING, BIOMEDICAL",0.3,0.7,Q4,121/122,4
IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,"ENGINEERING, BIOMEDICAL",17.2,N/A,Q1,3/122,1
IEEE Revista Iberoamericana de Tecnologias del Aprendizaje-IEEE RITA,IEEE REV IBEROAM TEC,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1,1.2,Q4,143/169,4
IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,ROBOTICS,5.4,6.8,Q1,9/46,3
IEEE Robotics and Automation Letters,IEEE ROBOT AUTOM LET,ROBOTICS,4.6,5.5,Q2,12/46,2
IEEE SECURITY & PRIVACY,IEEE SECUR PRIV,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2.9,3.5,Q2,40/131,4
IEEE SENSORS JOURNAL,IEEE SENS J,"PHYSICS, APPLIED",4.3,4.2,Q2,48/179,3
IEEE Sensors Letters,IEEE SENSOR LETT,"PHYSICS, APPLIED",2.2,2.2,Q3,104/179,4
IEEE SIGNAL PROCESSING LETTERS,IEEE SIGNAL PROC LET,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.2,3.4,Q2,130/352,3
IEEE SIGNAL PROCESSING MAGAZINE,IEEE SIGNAL PROC MAG,"ENGINEERING, ELECTRICAL & ELECTRONIC",9.4,18,Q1,12/352,2
IEEE SOFTWARE,IEEE SOFTWARE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3.3,3.8,Q2,35/131,4
IEEE Solid-State Circuits Letters,IEEE SOLID-ST CIRC L,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.2,2,Q3,183/352,3
IEEE SPECTRUM,IEEE SPECTRUM,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,2.8,Q2,157/352,4
IEEE Systems Journal,IEEE SYST J,TELECOMMUNICATIONS,4,3.9,Q2,36/119,3
IEEE Systems Man and Cybernetics Magazine,IEEE SYST MAN CYBERN,"COMPUTER SCIENCE, CYBERNETICS",1.9,2.1,Q3,21/32,4
IEEE TECHNOLOGY AND SOCIETY MAGAZINE,IEEE TECHNOL SOC MAG,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.1,2.7,Q3,192/352,4
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE T AERO ELEC SYS,TELECOMMUNICATIONS,5.1,4.7,Q1,24/119,2
IEEE Transactions on Affective Computing,IEEE T AFFECT COMPUT,"COMPUTER SCIENCE, CYBERNETICS",9.6,11,Q1,1/32,1
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,IEEE T ANTENN PROPAG,TELECOMMUNICATIONS,4.6,5,Q1,26/119,1
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,IEEE T APPL SUPERCON,"PHYSICS, APPLIED",1.7,1.5,Q3,125/179,3
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE T AUTOMAT CONTR,"ENGINEERING, ELECTRICAL & ELECTRONIC",6.2,6.6,Q1,44/352,2
IEEE Transactions on Automation Science and Engineering,IEEE T AUTOM SCI ENG,AUTOMATION & CONTROL SYSTEMS,5.9,6,Q1,14/84,2
IEEE Transactions on Big Data,IEEE T BIG DATA,"COMPUTER SCIENCE, THEORY & METHODS",7.5,5.8,Q1,10/143,2
IEEE Transactions on Biomedical Circuits and Systems,IEEE T BIOMED CIRC S,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.8,4.8,Q2,107/352,2
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,IEEE T BIO-MED ENG,"ENGINEERING, BIOMEDICAL",4.4,4.8,Q2,36/122,2
IEEE TRANSACTIONS ON BROADCASTING,IEEE T BROADCAST,TELECOMMUNICATIONS,3.2,3.6,Q2,50/119,2
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,IEEE T CIRC SYST VID,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.3,7.1,Q1,20/352,1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,IEEE T CIRCUITS-II,"ENGINEERING, ELECTRICAL & ELECTRONIC",4,3.7,Q2,100/352,2
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,IEEE T CIRCUITS-I,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.2,4.5,Q1,61/352,2
IEEE Transactions on Cloud Computing,IEEE T CLOUD COMPUT,"COMPUTER SCIENCE, THEORY & METHODS",5.3,4.6,Q1,17/143,2
IEEE Transactions on Cognitive and Developmental Systems,IEEE T COGN DEV SYST,ROBOTICS,5,4.6,Q1,10/46,3
IEEE Transactions on Cognitive Communications and Networking,IEEE T COGN COMMUN,TELECOMMUNICATIONS,7.4,6.9,Q1,11/119,1
IEEE TRANSACTIONS ON COMMUNICATIONS,IEEE T COMMUN,TELECOMMUNICATIONS,7.2,6.3,Q1,12/119,2
IEEE Transactions on Components Packaging and Manufacturing Technology,IEEE T COMP PACK MAN,"MATERIALS SCIENCE, MULTIDISCIPLINARY",2.3,2.1,Q3,275/438,3
IEEE Transactions on Computational Imaging,IEEE T COMPUT IMAG,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,4.2,4.7,Q2,10/36,2
IEEE Transactions on Computational Social Systems,IEEE T COMPUT SOC SY,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.5,4.6,Q1,51/249,3
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,IEEE T COMPUT AID D,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.7,2.9,Q2,154/352,3
IEEE TRANSACTIONS ON COMPUTERS,IEEE T COMPUT,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.6,3.2,Q2,118/352,2
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,IEEE T CONSUM ELECTR,TELECOMMUNICATIONS,4.3,3.9,Q2,31/119,2
IEEE Transactions on Control of Network Systems,IEEE T CONTROL NETW,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4,4.3,Q1,62/249,3
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE T CONTR SYST T,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.9,5.3,Q1,69/352,2
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,"COMPUTER SCIENCE, CYBERNETICS",9.4,10.3,Q1,2/32,1
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",7,6.8,Q1,7/131,2
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,IEEE T DEVICE MAT RE,"PHYSICS, APPLIED",2.5,2.1,Q2,87/179,3
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,IEEE T DIELECT EL IN,"PHYSICS, APPLIED",2.9,3,Q2,68/179,2
IEEE TRANSACTIONS ON EDUCATION,IEEE T EDUC,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.1,2.4,Q3,192/352,4
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,IEEE T ELECTROMAGN C,TELECOMMUNICATIONS,2,2,Q3,75/119,3
